size		Resistance	Time  of  Calculation
2	unbanded	1000.0	0.00044918060302734375
2	banded	1000.0	0.0003018379211425781
3	unbanded	1499.9999999999995	0.004027128219604492
3	banded	1499.9999999999995	0.004986286163330078
4	unbanded	1857.1428571428564	0.028777599334716797
4	banded	1857.1428571428564	0.03060126304626465
5	unbanded	2136.3636363636356	0.14074182510375977
5	banded	2136.3636363636356	0.13914060592651367
6	unbanded	2365.6565656565645	0.5874671936035156
6	banded	2365.6565656565645	0.5811691284179688
7	unbanded	2560.144346431429	1.6604173183441162
7	banded	2560.144346431429	1.6369547843933105
8	unbanded	2728.976763169806	4.560017824172974
8	banded	2728.976763169806	4.490253210067749
9	unbanded	2878.117373771648	11.228321313858032
9	banded	2878.117373771648	11.194392442703247
10	unbanded	3011.6695648965283	25.636253118515015
10	banded	3011.6695648965283	25.32063603401184
11	unbanded	3132.576980554772	55.649861335754395
11	banded	3132.576980554772	53.36398649215698
12	unbanded	3243.0225844643164	104.62484097480774
12	banded	3243.0225844643164	106.90563654899597
13	unbanded	3344.669725816812	231.24873399734497
13	banded	3344.669725816812	202.27004146575928
14	unbanded	3438.814771662122	350.5683846473694
14	banded	3438.814771662122	349.5068099498749
15	unbanded	3526.487565970392	624.8547525405884
15	banded	3526.487565970392	613.6701748371124
