$x$,$y$,Choleski,CG
0.02 ,  0.02,7.018554351943958,7.01855435193772
0.04 ,  0.02,13.651929013611618,13.651929013615687
0.06 ,  0.02,19.11068434594435,19.110684345951128
0.08 ,  0.02,22.26430575894023,22.264305758920443
0.10 ,  0.02,23.256867476258762,23.256867476275
0.02 ,  0.04,14.422288394164225,14.422288394179919
0.04 ,  0.04,28.47847735655819,28.478477356543827
0.06 ,  0.04,40.526502611225574,40.5265026112221
0.08 ,  0.04,46.68967121355784,46.6896712135811
0.10 ,  0.04,48.49885838715463,48.498858387134554
0.02 ,  0.06,22.192121868154768,22.192121868128144
0.04 ,  0.06,45.31318940723138,45.313189407259046
0.06 ,  0.06,67.82717752884197,67.82717752883742
0.08 ,  0.06,75.46901809691097,75.46901809689875
0.10 ,  0.06,77.35922364524413,77.3592236452562
0.02 ,  0.08,29.033009671223503,29.033009671260814
0.04 ,  0.08,62.75498087537059,62.75498087533291
0.02 ,  0.10,31.184935941368618,31.184935941342218
0.04 ,  0.10,66.67372442302745,66.67372442305401
