iterations,inf-norm,2-norm
0,204.99212590518613,437.5300166221278
1,325.87322121604143,555.1319626396321
2,165.26427050805898,343.08125864677794
3,103.46544796118687,236.7037429776329
4,90.15753512019205,187.16064220303144
5,64.7201397434339,159.2824468119905
6,64.62750605382215,120.25689601505599
7,83.36937732748903,110.14502550299105
8,58.57329837596293,131.79437283412827
9,67.17612168576869,113.34622176916574
10,50.07314806967281,93.30339827865483
11,28.01184329165141,80.07526259090712
12,32.57103069279998,69.7673692651326
13,11.406586409637384,33.75212520399267
14,7.322613812143061,19.895424913822854
15,8.653228287272597,22.752107011050136
16,5.959638142067632,18.519141846254435
17,1.6119988870068198,5.653268684857802
18,0.05535320043055947,0.15375509321395583
19,4.430312571912509e-06,1.0636516921676761e-05
20,1.8188757167081349e-09,4.384326600296845e-09
